Inputs: (range: 1000 | threads: 1) Outputs: 0.0050s | Total #: 179 | Sum: 79485 | 00007FF788620728
Inputs: (range: 1000 | threads: 2) Outputs: 0.0070s | Total #: 179 | Sum: 79485 | 00007FF788620728
Inputs: (range: 1000 | threads: 3) Outputs: 0.0070s | Total #: 179 | Sum: 79485 | 00007FF788620728
Inputs: (range: 1000 | threads: 4) Outputs: 0.0070s | Total #: 179 | Sum: 79485 | 00007FF788620728
Inputs: (range: 10000 | threads: 1) Outputs: 0.0070s | Total #: 1254 | Sum: 5802192 | 00007FF788620728
Inputs: (range: 10000 | threads: 2) Outputs: 0.0070s | Total #: 1254 | Sum: 5802192 | 00007FF788620728
Inputs: (range: 100000 | threads: 1) Outputs: 0.0320s | Total #: 9657 | Sum: 456283901 | 00007FF788620728
Inputs: (range: 100000 | threads: 2) Outputs: 0.0200s | Total #: 9657 | Sum: 456283901 | 00007FF788620728
Inputs: (range: 1000000 | threads: 1) Outputs: 0.6890s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 1000000 | threads: 2) Outputs: 0.4180s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 1000000 | threads: 3) Outputs: 0.2960s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 1000000 | threads: 4) Outputs: 0.2130s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 1000000 | threads: 5) Outputs: 0.1770s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 1000000 | threads: 6) Outputs: 0.1980s | Total #: 78666 | Sum: -1054958262 | 00007FF788620728
Inputs: (range: 10000000 | threads: 1) Outputs: 15.9270s | Total #: 665025 | Sum: 589942741 | 00007FF788620728
Inputs: (range: 10000000 | threads: 8) Outputs: 3.0320s | Total #: 665025 | Sum: 589942741 | 00007FF788620728
Inputs: (range: 10000000 | threads: 16) Outputs: 1.9880s | Total #: 665025 | Sum: 589942741 | 00007FF788620728
Inputs: (range: 10000000 | threads: 32) Outputs: 1.9990s | Total #: 665025 | Sum: 589942741 | 00007FF788620728
Inputs: (range: 100000000 | threads: 8) Outputs: 75.5870s | Total #: 5762684 | Sum: 1448091204 | 00007FF788620728
Inputs: (range: 100000000 | threads: 16) Outputs: 43.4700s | Total #: 5762684 | Sum: 1448091204 | 00007FF788620728
Inputs: (range: 100000000 | threads: 4) Outputs: 122.7080s | Total #: 5762684 | Sum: 1448091204 | 00007FF788620728
Inputs: (range: 100000000 | threads: 2) Outputs: 191.8080s | Total #: 5762684 | Sum: 1448091204 | 00007FF788620728
Inputs: (range: 100000000 | threads: 1) Outputs: 346.4990s | Total #: 5762684 | Sum: 1448091204 | 00007FF788620728
Inputs: (range: 1000000 | threads: 16) Outputs: 0.1400s | Total #: 78666 | Sum: -1054958262 | 00007FF7A2DF0728
Inputs: (range: 1000000 | threads: 16) Outputs: 0.1330s | Total #: 78666 | Sum: -1054958262 | 00007FF74B670728
Inputs: (range: 100 | threads: 1) Outputs: 0.0050s | Total #: 29 | Sum: 1147 | 00007FF658233728
Inputs: (range: 1000 | threads: 2) Outputs: 0.0050s | Total #: 179 | Sum: 79485 | 00007FF658233728
Inputs: (range: 100 | threads: 1) Outputs: 0.012s | Total #: 29 | Sum: 1147 | 2345791113171923252931374143474953596167717379838997Inputs: (range: 100 | threads: 1) Outputs: 0.005s | Total #: 29 | Sum: 1147 | 2 3 4 5 7 9 11 13 17 19 23 25 29 31 37 41 43 47 49 53 59 61 67 71 73 79 83 89 97 Inputs: (range: 100 | threads: 2) Outputs: 0.005s | Total #: 29 | Sum: 1147 | 2 3 4 5 7 9 11 13 17 19 23 25 29 31 37 41 43 47 49 53 59 61 67 71 73 79 83 89 97 
